Sentiment,Count,Change,Trend
0.2431902707275801,91952,1,58
0.2354990384615382,86876,0,52
0.1481168946648426,87218,0,47
0.2025028273809525,83943,0,44
0.3175562119895741,80204,1,41
0.1837269774011301,92538,0,39
0.1679486528098534,90604,0,45
0.1448557220708446,84094,1,40
0.1120353650368377,91553,1,47
0.233270365358594,86776,0,42
0.2422473605947952,95217,0,45
0.1738502971768196,81341,1,37
0.0081830769230769,79950,0,36
0.1570220638153423,95641,1,40
0.122656125941136,136688,1,38
0.3093767663043515,92942,1,40
0.132221197846568,88648,1,42
0.1415852941176471,87206,1,43
0.1875450381679386,97696,1,46
0.1988195386702858,90489,0,42
0.2437401947148828,106612,1,42
0.0860188105117568,133460,1,51
0.2279815172413791,100821,1,44
0.1642153274814314,116498,1,51
0.2410186997319056,99295,0,47
0.1903383478844861,81083,1,43
0.1284006044325051,77946,1,48
0.1173336693548385,81962,1,59
0.1702350335570473,101403,1,49
0.1727314939434727,92250,0,48
0.1193564721663314,83329,0,42
0.1638561238223422,78844,1,42
0.1990301075268816,70155,0,42
0.2243820126782885,76224,1,43
0.2026806473364803,87489,0,44
0.1462096491228071,85449,0,42
0.1350690140845072,83306,0,44
0.2276895903290804,87905,1,38
0.2329175390890546,73037,0,41
0.1981073220338985,89750,1,36
0.1713983728813565,86679,0,34
0.1593931313131314,86519,0,42
0.3553587878787884,109142,1,40
0.1513266216216216,98681,1,38
0.2109613360323892,90194,0,37
0.2164378122889949,84885,1,36
0.1749962837837845,74535,1,34
0.2489177943166446,114555,0,33
0.1613558764271322,92864,1,37
0.146008095238095,92516,1,37
0.155505739365294,120200,0,34
0.1360671168129642,102282,0,35
0.1383587837837837,91020,0,33
0.1344916498316499,79435,0,31
0.2396424016282226,76979,0,30
0.1363665540540541,82898,1,38
0.2212331275720171,74497,0,38
0.1833111035883551,79666,1,35
0.1621897972972975,87697,1,33
0.1298829152542377,72153,0,33
0.1474991908294,68733,0,32
0.0867949083503053,85552,1,35
0.1308888888888888,76873,1,35
0.12664706284153,77091,0,32
0.1778325033647378,81224,1,30
0.2400758411843902,73616,0,36
0.1463230303030299,71779,0,37
0.1755687626774846,60069,0,33
0.1610785129604367,64584,0,35
0.1545121027721434,73881,0,49
0.1662198859005711,67666,1,45
0.1405585810810811,69320,0,58
0.0929849695328367,69909,0,93
0.1293266711681297,72276,1,70
0.1783008157715841,71106,1,46
0.1401784021665539,67943,1,42
0.1638489505754909,77672,0,47
0.191718151147099,71261,1,41
0.1534451962110964,73625,0,43
0.1731053162853298,83479,1,39
0.1323443542934415,102418,0,35
0.1138505383580078,94105,1,35
0.1170074880871342,89852,1,33
0.1626303649635036,103492,0,36
0.1375334677419354,113758,1,35
0.1718224983210211,111270,0,34
0.1109348617666889,124158,0,42
0.1130036908077993,114948,0,49
0.165039383791025,99321,1,37
0.1439540376850608,93289,1,33
0.2281199861207492,101091,1,39
0.1559198252688177,103772,0,40
0.180496296296296,101006,0,37
0.131303910991234,110467,1,33
0.1415019397993311,105091,0,34
0.153512516823688,104141,1,29
0.0936183714670255,92738,1,30
0.1469571234735417,97498,1,35
0.141363537414966,105492,0,35
0.1468585831062665,122073,0,34
0.1291600699300698,115079,0,31
0.1309446343130556,100692,0,34
0.1214315967523679,94098,0,53
0.1249208165997324,94700,0,54
0.0638609280430396,125939,0,100
0.0891235932203388,116029,1,84
0.1563949544498951,109335,1,85
0.144268362369338,101067,0,67
0.1405389510489509,102665,1,58
0.1726633148404999,107489,0,96
0.1615000673854447,89471,1,79
0.0976936614969655,102025,0,61
0.1171076716016154,94666,0,51
0.1583521829521829,86579,0,45
0.1220696765498648,82655,1,45
0.1590535519125683,85126,1,47
0.2193519217801758,75640,1,41
0.1563983728813557,77125,0,40
0.14456177868296,101038,0,43
0.140002615694165,110321,0,41
0.072299057239057,102000,0,41
0.1033469871360866,96218,0,49
0.1164883970489603,93404,0,41
0.1465883831521743,83470,1,37
0.1349728698023179,80789,1,36
0.1675503105590064,100692,1,39
0.2447311784511776,117233,0,35
0.142949660326087,105553,1,37
0.1135201346801345,98889,1,37
0.1612277966101694,99382,0,37
0.1424447951645393,91615,0,31
-0.0071817262306138,99128,0,32
0.0964559595959596,107289,0,37
0.0975960162052667,102080,0,36
0.1095063050847459,101006,1,36
0.120487123287671,100667,1,35
0.1200907181571815,99382,1,38
0.1219870945945948,112399,1,40
0.1148074626865672,124282,0,43
0.1401774503084304,130004,1,54
0.1809201355932204,121802,0,53
0.1113774149659868,143122,0,54
0.2115693559322035,135692,1,48
0.1182659863945577,117132,0,45
0.1317241379310343,97944,1,40
0.1442409697821503,90899,1,40
0.1531936673625609,121292,0,41
0.1083974847042828,117621,0,42
0.1357499661933739,105810,1,40
0.1788968077723802,122166,1,48
0.1110370748299319,97136,1,46
0.1227749315068491,104421,0,41
0.1381005653710249,100275,0,39
